name,model,profile,max_tokens,timeout,task_file,out
p7-02-impl-fast,coder-fast,impl,22000,2400,orchestration/task-packets/P7-02.md,orchestration/runs/P7-02-coder-fast-queue.txt
p7-02-impl-accurate,coder-accurate,impl,24000,2400,orchestration/task-packets/P7-02.md,orchestration/runs/P7-02-coder-accurate-queue.txt
p7-03-red,coder-accurate,test,24000,2400,orchestration/task-packets/P7-03-RED.md,orchestration/runs/P7-03-RED-coder-accurate-queue.txt
p7-03-impl,coder-fast,impl,22000,2400,orchestration/task-packets/P7-03.md,orchestration/runs/P7-03-coder-fast-queue.txt
p7-04-red,coder-accurate,test,22000,2400,orchestration/task-packets/P7-04-RED.md,orchestration/runs/P7-04-RED-coder-accurate.txt
p7-04-impl,coder-fast,impl,22000,2400,orchestration/task-packets/P7-04.md,orchestration/runs/P7-04-coder-fast.txt
p7-05-red,coder-accurate,test,22000,2400,orchestration/task-packets/P7-05-RED.md,orchestration/runs/P7-05-RED-coder-accurate.txt
p7-05-impl,coder-fast,impl,22000,2400,orchestration/task-packets/P7-05.md,orchestration/runs/P7-05-coder-fast.txt
p7-06-red,coder-accurate,test,22000,2400,orchestration/task-packets/P7-06-RED.md,orchestration/runs/P7-06-RED-coder-accurate.txt
p7-06-impl,coder-fast,impl,22000,2400,orchestration/task-packets/P7-06.md,orchestration/runs/P7-06-coder-fast.txt
p7-07-red,coder-accurate,test,22000,2400,orchestration/task-packets/P7-07-RED.md,orchestration/runs/P7-07-RED-coder-accurate.txt
p7-07-impl,coder-fast,impl,22000,2400,orchestration/task-packets/P7-07.md,orchestration/runs/P7-07-coder-fast.txt
