name,model,profile,max_tokens,timeout,task_file,out
p7-02-impl-accurate-deep,coder-accurate,impl,26000,2400,orchestration/task-packets/P7-02.md,orchestration/runs/P7-02-coder-accurate-impl-deep.txt
p7-03-red-deep,coder-accurate,test,26000,2400,orchestration/task-packets/P7-03-RED.md,orchestration/runs/P7-03-RED-coder-accurate-deep2.txt
p7-03-impl-deep,coder-fast,impl,24000,2400,orchestration/task-packets/P7-03.md,orchestration/runs/P7-03-coder-fast-deep2.txt
p7-04-red-deep,coder-accurate,test,24000,2400,orchestration/task-packets/P7-04-RED.md,orchestration/runs/P7-04-RED-coder-accurate-deep.txt
p7-04-impl-deep,coder-fast,impl,24000,2400,orchestration/task-packets/P7-04.md,orchestration/runs/P7-04-coder-fast-deep.txt
p7-05-red-deep,coder-accurate,test,24000,2400,orchestration/task-packets/P7-05-RED.md,orchestration/runs/P7-05-RED-coder-accurate-deep.txt
p7-05-impl-deep,coder-fast,impl,24000,2400,orchestration/task-packets/P7-05.md,orchestration/runs/P7-05-coder-fast-deep.txt
p7-06-red-deep,coder-accurate,test,24000,2400,orchestration/task-packets/P7-06-RED.md,orchestration/runs/P7-06-RED-coder-accurate-deep.txt
p7-06-impl-deep,coder-fast,impl,24000,2400,orchestration/task-packets/P7-06.md,orchestration/runs/P7-06-coder-fast-deep.txt
p7-07-red-deep,coder-accurate,test,24000,2400,orchestration/task-packets/P7-07-RED.md,orchestration/runs/P7-07-RED-coder-accurate-deep.txt
p7-07-impl-deep,coder-fast,impl,24000,2400,orchestration/task-packets/P7-07.md,orchestration/runs/P7-07-coder-fast-deep.txt
p7-02-review-plan,planner-longctx,plan,30000,2400,orchestration/task-packets/P7-02.md,orchestration/runs/P7-02-plan-longctx-deep2.txt
p7-03-review-plan,planner-longctx,plan,30000,2400,orchestration/task-packets/P7-03.md,orchestration/runs/P7-03-plan-longctx-deep2.txt
p7-04-review-plan,planner-longctx,plan,30000,2400,orchestration/task-packets/P7-04.md,orchestration/runs/P7-04-plan-longctx-deep.txt
p7-05-review-plan,planner-longctx,plan,30000,2400,orchestration/task-packets/P7-05.md,orchestration/runs/P7-05-plan-longctx-deep.txt
p7-06-review-plan,planner-longctx,plan,30000,2400,orchestration/task-packets/P7-06.md,orchestration/runs/P7-06-plan-longctx-deep.txt
p7-07-review-plan,planner-longctx,plan,30000,2400,orchestration/task-packets/P7-07.md,orchestration/runs/P7-07-plan-longctx-deep.txt
