timestamp,gpu_use_card0,gpu_use_card1
2026-05-08T14:06:25+02:00,2,0
2026-05-08T14:06:27+02:00,2,0
2026-05-08T14:06:29+02:00,3,0
2026-05-08T14:06:31+02:00,2,0
2026-05-08T14:06:33+02:00,2,0
2026-05-08T14:06:35+02:00,2,0
2026-05-08T14:06:37+02:00,3,0
2026-05-08T14:06:39+02:00,3,0
2026-05-08T14:06:41+02:00,2,0
2026-05-08T14:06:43+02:00,2,0
2026-05-08T14:06:46+02:00,92,0
2026-05-08T14:06:48+02:00,93,0
2026-05-08T14:06:50+02:00,94,0
2026-05-08T14:06:52+02:00,94,0
2026-05-08T14:06:54+02:00,93,0
2026-05-08T14:06:56+02:00,94,0
2026-05-08T14:06:58+02:00,94,0
2026-05-08T14:07:00+02:00,95,0
2026-05-08T14:07:02+02:00,95,0
2026-05-08T14:07:04+02:00,95,0
2026-05-08T14:07:07+02:00,95,0
2026-05-08T14:07:09+02:00,95,0
2026-05-08T14:07:11+02:00,94,0
2026-05-08T14:07:13+02:00,91,0
2026-05-08T14:07:15+02:00,95,0
