timestamp,gpu_use_card0,gpu_use_card1
2026-05-08T11:16:42+02:00,89,0
2026-05-08T11:16:44+02:00,89,0
2026-05-08T11:16:46+02:00,81,0
2026-05-08T11:16:48+02:00,89,0
2026-05-08T11:16:50+02:00,89,0
2026-05-08T11:16:53+02:00,89,0
2026-05-08T11:16:55+02:00,89,0
2026-05-08T11:16:57+02:00,77,0
2026-05-08T11:16:59+02:00,84,0
2026-05-08T11:17:01+02:00,88,0
2026-05-08T11:17:03+02:00,87,0
2026-05-08T11:17:05+02:00,88,0
2026-05-08T11:17:07+02:00,89,0
2026-05-08T11:17:09+02:00,88,0
2026-05-08T11:17:11+02:00,86,0
2026-05-08T11:17:13+02:00,88,0
2026-05-08T11:17:16+02:00,90,0
2026-05-08T11:17:18+02:00,89,0
