timestamp,task_name,gpu_use_card0,gpu_use_card1
2026-05-08T12:22:12,p7-02-impl-accurate-deep,2,0
2026-05-08T12:22:15,p7-02-impl-accurate-deep,2,0
2026-05-08T12:22:17,p7-02-impl-accurate-deep,2,0
2026-05-08T12:22:19,p7-02-impl-accurate-deep,2,0
2026-05-08T12:22:21,p7-02-impl-accurate-deep,3,0
2026-05-08T12:22:23,p7-02-impl-accurate-deep,76,0
2026-05-08T12:22:25,p7-02-impl-accurate-deep,90,0
2026-05-08T12:22:27,p7-02-impl-accurate-deep,89,0
2026-05-08T12:22:29,p7-02-impl-accurate-deep,89,0
2026-05-08T12:22:31,p7-02-impl-accurate-deep,89,0
2026-05-08T12:22:33,p7-02-impl-accurate-deep,88,0
2026-05-08T12:22:35,p7-02-impl-accurate-deep,88,0
2026-05-08T12:22:38,p7-02-impl-accurate-deep,88,0
2026-05-08T12:22:40,p7-02-impl-accurate-deep,2,0
2026-05-08T12:22:40,p7-03-red-deep,2,0
2026-05-08T12:22:42,p7-03-red-deep,84,0
2026-05-08T12:22:44,p7-03-red-deep,88,0
2026-05-08T12:22:46,p7-03-red-deep,89,0
2026-05-08T12:22:48,p7-03-red-deep,88,0
2026-05-08T12:22:50,p7-03-red-deep,88,0
2026-05-08T12:22:52,p7-03-red-deep,88,0
2026-05-08T12:22:54,p7-03-red-deep,89,0
2026-05-08T12:22:57,p7-03-red-deep,90,0
2026-05-08T12:22:59,p7-03-red-deep,89,0
2026-05-08T12:23:01,p7-03-red-deep,88,0
2026-05-08T12:23:03,p7-03-red-deep,0,0
2026-05-08T12:23:03,p7-03-impl-deep,3,0
2026-05-08T12:23:05,p7-03-impl-deep,2,0
2026-05-08T12:23:05,p7-04-red-deep,2,0
2026-05-08T12:23:07,p7-04-red-deep,88,0
2026-05-08T12:23:09,p7-04-red-deep,88,0
2026-05-08T12:23:11,p7-04-red-deep,86,0
2026-05-08T12:23:13,p7-04-red-deep,90,0
2026-05-08T12:23:16,p7-04-red-deep,89,0
2026-05-08T12:23:18,p7-04-red-deep,89,0
2026-05-08T12:23:20,p7-04-red-deep,89,0
2026-05-08T12:23:22,p7-04-red-deep,88,0
2026-05-08T12:23:24,p7-04-red-deep,3,0
2026-05-08T12:23:24,p7-04-impl-deep,32,0
2026-05-08T12:23:26,p7-04-impl-deep,2,0
2026-05-08T12:23:28,p7-04-impl-deep,3,0
2026-05-08T12:23:30,p7-04-impl-deep,2,0
2026-05-08T12:23:32,p7-04-impl-deep,8,0
2026-05-08T12:23:34,p7-04-impl-deep,4,0
2026-05-08T12:23:37,p7-04-impl-deep,90,0
2026-05-08T12:23:39,p7-04-impl-deep,89,0
2026-05-08T12:23:41,p7-04-impl-deep,86,0
2026-05-08T12:23:43,p7-04-impl-deep,88,0
2026-05-08T12:23:45,p7-04-impl-deep,87,0
2026-05-08T12:23:47,p7-04-impl-deep,89,0
2026-05-08T12:23:49,p7-04-impl-deep,88,0
2026-05-08T12:23:51,p7-04-impl-deep,89,0
2026-05-08T12:23:53,p7-04-impl-deep,87,0
2026-05-08T12:23:55,p7-04-impl-deep,7,0
2026-05-08T12:23:56,p7-05-red-deep,28,0
2026-05-08T12:23:58,p7-05-red-deep,8,0
2026-05-08T12:24:00,p7-05-red-deep,8,0
2026-05-08T12:24:02,p7-05-red-deep,8,0
2026-05-08T12:24:04,p7-05-red-deep,8,0
2026-05-08T12:24:06,p7-05-red-deep,16,0
2026-05-08T12:24:08,p7-05-red-deep,86,0
2026-05-08T12:24:10,p7-05-red-deep,89,0
2026-05-08T12:24:12,p7-05-red-deep,89,0
2026-05-08T12:24:14,p7-05-red-deep,87,0
2026-05-08T12:24:16,p7-05-red-deep,89,0
2026-05-08T12:24:19,p7-05-red-deep,88,0
2026-05-08T12:24:21,p7-05-red-deep,87,0
2026-05-08T12:24:23,p7-05-red-deep,6,0
2026-05-08T12:24:23,p7-05-impl-deep,100,0
2026-05-08T12:24:25,p7-05-impl-deep,6,0
2026-05-08T12:24:27,p7-05-impl-deep,6,0
2026-05-08T12:24:29,p7-05-impl-deep,6,0
2026-05-08T12:24:31,p7-05-impl-deep,6,0
2026-05-08T12:24:33,p7-05-impl-deep,6,0
2026-05-08T12:24:35,p7-05-impl-deep,85,0
2026-05-08T12:24:37,p7-05-impl-deep,87,0
2026-05-08T12:24:40,p7-05-impl-deep,88,0
2026-05-08T12:24:42,p7-05-impl-deep,86,0
2026-05-08T12:24:44,p7-05-impl-deep,89,0
2026-05-08T12:24:46,p7-05-impl-deep,91,0
2026-05-08T12:24:48,p7-05-impl-deep,89,0
2026-05-08T12:24:50,p7-05-impl-deep,89,0
2026-05-08T12:24:52,p7-05-impl-deep,90,0
2026-05-08T12:24:54,p7-05-impl-deep,89,0
2026-05-08T12:24:56,p7-05-impl-deep,88,0
2026-05-08T12:24:58,p7-05-impl-deep,6,0
2026-05-08T12:24:58,p7-06-red-deep,33,0
2026-05-08T12:25:01,p7-06-red-deep,6,0
2026-05-08T12:25:03,p7-06-red-deep,6,0
2026-05-08T12:25:05,p7-06-red-deep,6,0
2026-05-08T12:25:07,p7-06-red-deep,6,0
2026-05-08T12:25:09,p7-06-red-deep,14,0
2026-05-08T12:25:11,p7-06-red-deep,88,0
2026-05-08T12:25:13,p7-06-red-deep,89,0
2026-05-08T12:25:15,p7-06-red-deep,89,0
2026-05-08T12:25:17,p7-06-red-deep,90,0
2026-05-08T12:25:19,p7-06-red-deep,88,0
2026-05-08T12:25:21,p7-06-red-deep,88,0
2026-05-08T12:25:24,p7-06-red-deep,89,0
2026-05-08T12:25:26,p7-06-red-deep,12,0
2026-05-08T12:25:26,p7-06-impl-deep,35,0
2026-05-08T12:25:28,p7-06-impl-deep,8,0
2026-05-08T12:25:30,p7-06-impl-deep,6,0
2026-05-08T12:25:32,p7-06-impl-deep,6,0
2026-05-08T12:25:34,p7-06-impl-deep,6,0
2026-05-08T12:25:36,p7-06-impl-deep,8,0
2026-05-08T12:25:38,p7-06-impl-deep,89,0
2026-05-08T12:25:40,p7-06-impl-deep,87,0
2026-05-08T12:25:42,p7-06-impl-deep,89,0
2026-05-08T12:25:45,p7-06-impl-deep,90,0
2026-05-08T12:25:47,p7-06-impl-deep,88,0
2026-05-08T12:25:49,p7-06-impl-deep,88,0
2026-05-08T12:25:51,p7-06-impl-deep,91,0
2026-05-08T12:25:53,p7-06-impl-deep,6,0
2026-05-08T12:25:53,p7-07-red-deep,32,0
2026-05-08T12:25:55,p7-07-red-deep,6,0
2026-05-08T12:25:57,p7-07-red-deep,7,0
2026-05-08T12:25:59,p7-07-red-deep,5,0
2026-05-08T12:26:01,p7-07-red-deep,7,0
2026-05-08T12:26:04,p7-07-red-deep,31,0
2026-05-08T12:26:06,p7-07-red-deep,89,0
2026-05-08T12:26:08,p7-07-red-deep,89,0
2026-05-08T12:26:10,p7-07-red-deep,85,0
2026-05-08T12:26:12,p7-07-red-deep,89,0
2026-05-08T12:26:14,p7-07-red-deep,90,0
2026-05-08T12:26:16,p7-07-red-deep,88,0
2026-05-08T12:26:18,p7-07-red-deep,90,0
2026-05-08T12:26:20,p7-07-red-deep,53,0
2026-05-08T12:26:20,p7-07-impl-deep,35,0
2026-05-08T12:26:22,p7-07-impl-deep,6,0
2026-05-08T12:26:25,p7-07-impl-deep,6,0
2026-05-08T12:26:27,p7-07-impl-deep,6,0
2026-05-08T12:26:29,p7-07-impl-deep,6,0
2026-05-08T12:26:31,p7-07-impl-deep,100,0
2026-05-08T12:26:33,p7-07-impl-deep,86,0
2026-05-08T12:26:35,p7-07-impl-deep,88,0
2026-05-08T12:26:37,p7-07-impl-deep,87,0
2026-05-08T12:26:39,p7-07-impl-deep,89,0
2026-05-08T12:26:41,p7-07-impl-deep,91,0
2026-05-08T12:26:43,p7-07-impl-deep,89,0
